"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"JBF6683","NY","PAS","5127522561","05/18/2023","02:31P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYWxVeVRWRTlQUT09&locationName=_____________________)"
"LBT5923","NY","PAS","9064133931","07/06/2023","12:38P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","071","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOZW10NlRWRTlQUT09&locationName=_____________________)"
"62432BA","NY","OMR","9064133979","07/06/2023","01:06P","PARKED BUS-EXC. DESIG. AREA",,"45","0","0","0","45","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOZW1zelQxRTlQUT09&locationName=_____________________)"
"JHU4250","NY","PAS","5127522573","05/18/2023","02:35P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.25","0","75.25","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYWxVelRYYzlQUT09&locationName=_____________________)"
"KAE8243","NY","PAS","9040680085","03/13/2023","10:59A","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","033","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVFJOUkVFMFRsRTlQUT09&locationName=_____________________)"
"KZJ4159","NY","PAS","5127522937","05/18/2023","03:53P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.08","0.03","75.05","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW10NlRuYzlQUT09&locationName=_____________________)"
"JAU5781","NY","PAS","9068989431","08/21/2023","08:03A","SAFETY ZONE",,"115","0","0","0","115","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQVkZGNlRWRTlQUT09&locationName=_____________________)"
"T686733C","NY","OMT","5127522913","05/18/2023","03:52P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW10NFRYYzlQUT09&locationName=_____________________)"
"670525R","NJ","PAS","8819669535","08/05/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkZWNlRsRTlQUT09&locationName=_____________________)"
"V459149","NJ","PAS","8819669754","08/05/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdNeFRrRTlQUT09&locationName=_____________________)"
"KNF8490","NY","PAS","9077628873","10/02/2023","10:05A","NO PARKING-STREET CLEANING",,"65","10","0","0","75","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkdjelRYYzlQUT09&locationName=_____________________)"
"HCC6424","NY","PAS","5127522901","05/18/2023","03:50P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","2.34","0.09","77.25","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW10M1RWRTlQUT09&locationName=_____________________)"
"XLBV88","NJ","PAS","5127522949","05/18/2023","03:54P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW1zd1QxRTlQUT09&locationName=_____________________)"
"7493PZ","ON","PAS","8819669780","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdNMFRVRTlQUT09&locationName=_____________________)"
"ZGV6613","NY","ITP","8819669791","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdNMVRWRTlQUT09&locationName=_____________________)"
"604832R","NJ","PAS","8819669808","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdkM1QwRTlQUT09&locationName=_____________________)"
"JALZ76","FL","PAS","8819669833","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdkNlRYYzlQUT09&locationName=_____________________)"
"KSX7741","NY","PAS","5127522640","05/18/2023","02:46P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.14","0","76.14","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYWxrd1RVRTlQUT09&locationName=_____________________)"
"HWS7284","NY","PAS","8917021013","07/13/2022","05:09P","FAIL TO DSPLY MUNI METER RECPT",,"35","10","0","0","45","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOVkVGNFRYYzlQUT09&locationName=_____________________)"
"KCA1030","NY","PAS","8917020860","07/13/2022","01:51P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOUkdjeVRVRTlQUT09&locationName=_____________________)"
"JFL4347","NY","PAS","5127523000","05/18/2023","04:09P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtGM1RVRTlQUT09&locationName=_____________________)"
"KFM4961","NY","PAS","9068989455","08/21/2023","09:07A","FIRE HYDRANT",,"115","10","0","0","125","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJQVkZFeFRsRTlQUT09&locationName=_____________________)"
"P754193","IL","PAS","8819669961","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdzeVRWRTlQUT09&locationName=_____________________)"
"TWW82X","NJ","PAS","8819669973","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdzelRYYzlQUT09&locationName=_____________________)"
"43899ML","NY","COM","8675357473","08/15/2018","01:24P","NO STANDING-EXC. AUTH. VEHICLE","01/03/2019","95","60","56.56","0.08","211.48","0","066","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wNVVUVEZPZWxFelRYYzlQUT09&locationName=_____________________)"
"JJT3297","NC","PAS","5127522986","05/18/2023","04:05P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW1zMFRtYzlQUT09&locationName=_____________________)"
"49823NC","NY","COM","9040365064","03/07/2023","05:18P","NO PARKING-DAY/TIME LIMITS","06/22/2023","65","60","5.15","0.18","129.97","0","020","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVUVEpPVkVFeVRrRTlQUT09&locationName=_____________________)"
"B745615","ME","PAS","8819669985","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdzMFRsRTlQUT09&locationName=_____________________)"
"HV44262","OR","PAS","8819669997","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVEpQVkdzMVRuYzlQUT09&locationName=_____________________)"
"TTN54K","NJ","PAS","8819670008","08/06/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OUkVGM1QwRTlQUT09&locationName=_____________________)"
"V325180","NJ","PAS","8819670021","08/07/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OUkVGNVRWRTlQUT09&locationName=_____________________)"
"EKU9615","NY","PAS","8917022224","07/18/2022","01:54P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","102","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOYWtsNVRrRTlQUT09&locationName=_____________________)"
"GPV1963","NY","PAS","5127522950","05/18/2023","03:56P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","25","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOYW1zeFRVRTlQUT09&locationName=_____________________)"
"1ES4862","MD","PAS","8917021761","07/15/2022","05:29P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","112","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOVkdNeVRWRTlQUT09&locationName=_____________________)"
"T734524C","NY","OMT","5127523024","05/18/2023","04:14P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtGNVRrRTlQUT09&locationName=_____________________)"
"T662053C","NY","OMT","8819670409","08/08/2020","00:14A","FIRE HYDRANT","09/15/2022","115","60","10.21","0.22","184.99","0","043","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OUkZGM1QxRTlQUT09&locationName=_____________________)"
"LAH1360","NY","PAS","5127523292","05/18/2023","04:57P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtrMVRXYzlQUT09&locationName=_____________________)"
"734499R","NJ","PAS","8819670938","08/11/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OUkd0NlQwRTlQUT09&locationName=_____________________)"
"760052R","NJ","PAS","8819671189","08/12/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OVkVVMFQxRTlQUT09&locationName=_____________________)"
"JKA4125","NY","PAS","5127523188","05/18/2023","04:42P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtVMFQwRTlQUT09&locationName=_____________________)"
"LMY1849","PA","PAS","5127523097","05/18/2023","04:20P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtFMVRuYzlQUT09&locationName=_____________________)"
"LVE0774","PA","PAS","5127523103","05/18/2023","04:21P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.3","0.13","75.17","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtWM1RYYzlQUT09&locationName=_____________________)"
"JPF6486","NY","PAS","9077628940","10/02/2023","10:51A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkdzd1RVRTlQUT09&locationName=_____________________)"
"KNZ6969","NY","PAS","9077628939","10/02/2023","10:24A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkd0NlQxRTlQUT09&locationName=_____________________)"
"696868R","NJ","PAS","8819671359","08/12/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OVkUweFQxRTlQUT09&locationName=_____________________)"
"AT76365","CT","PAS","8819671360","08/12/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OVkUweVRVRTlQUT09&locationName=_____________________)"
"703373R","NJ","PAS","8819671372","08/12/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OVkUwelRXYzlQUT09&locationName=_____________________)"
"LAN3247","NY","PAS","5127523220","05/18/2023","04:47P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.17","0.09","76.08","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtsNVRVRTlQUT09&locationName=_____________________)"
"KXL8129","NY","PAS","8917022935","07/21/2022","01:40P","EXPIRED MUNI METER",,"35","0","0","0","35","0","106","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOYW10NlRsRTlQUT09&locationName=_____________________)"
"T784641C","NY","OMT","5127523115","05/18/2023","04:30P","FAILURE TO STOP AT RED LIGHT","08/24/2023","50","25","1.77","0.04","76.73","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWtWNFRsRTlQUT09&locationName=_____________________)"
"GER4505","NY","PAS","9064134170","07/07/2023","06:05A","INSP. STICKER-EXPIRED/MISSING",,"65","30","0","0","95","0","071","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPUkVVelRVRTlQUT09&locationName=_____________________)"
"2YJR86","MA","PAS","5127523413","05/18/2023","05:19P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxGNFRYYzlQUT09&locationName=_____________________)"
"JPL2764","NY","PAS","5127523486","05/18/2023","05:38P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxFMFRtYzlQUT09&locationName=_____________________)"
"7D43H","NY","PAS","5097826863","08/06/2017","10:05A","FAILURE TO STOP AT RED LIGHT","11/02/2017","50","25","38.52","0.43","113.09","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZaM2xPYW1jeVRYYzlQUT09&locationName=_____________________)"
"JEJ3259","NY","PAS","5127523619","05/18/2023","06:04P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxsNFQxRTlQUT09&locationName=_____________________)"
"FPX5401","NY","PAS","5127523565","05/18/2023","05:56P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.32","0.02","75.3","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxVeVRsRTlQUT09&locationName=_____________________)"
"V88RXX","NJ","PAS","5127523553","05/18/2023","05:50P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.24","0.07","75.17","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxVeFRYYzlQUT09&locationName=_____________________)"
"Y102990C","NY","OMT","5127523589","05/18/2023","05:59P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZWxVMFQxRTlQUT09&locationName=_____________________)"
"GPK7672","NY","PAS","8917023411","07/22/2022","02:17P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","104","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOZWxGNFRWRTlQUT09&locationName=_____________________)"
"KWR5677","NY","PAS","8917023307","07/21/2022","09:48P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOZWsxM1RuYzlQUT09&locationName=_____________________)"
"DPC9159","NY","PAS","8906074001","12/12/2021","12:38P","NO STANDING-DAY/TIME LIMITS","07/28/2022","115","60","6.78","0.09","181.69","0","017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNXFRVE5PUkVGM1RWRTlQUT09&locationName=_____________________)"
"T675270C","NY","PAS","5097828628","08/06/2017","12:07P","FAILURE TO STOP AT RED LIGHT","11/02/2017","50","25","35.07","0.07","110","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZaM2xQUkZsNVQwRTlQUT09&locationName=_____________________)"
"JAW5138","NY","PAS","8675373960","11/23/2018","12:30P","FAIL TO DSPLY MUNI METER RECPT","03/14/2019","35","60","32.61","0","127.61","0","066","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wNVVUVE5OZW1zeVRVRTlQUT09&locationName=_____________________)"
"T807892C","NY","OMT","5127523838","05/18/2023","07:00P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1kNlQwRTlQUT09&locationName=_____________________)"
"J16REY","NJ","PAS","5127523759","05/18/2023","06:31P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1NeFQxRTlQUT09&locationName=_____________________)"
"KVU3025","NY","PAS","9077628988","10/02/2023","11:40A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkdzMFQwRTlQUT09&locationName=_____________________)"
"LVX4459","PA","PAS","4032633022","10/19/2023","04:53P","BUS LANE VIOLATION",,"50","25","0","0","0","75","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVrMXFXWHBOZWtGNVRXYzlQUT09&locationName=_____________________)"
"GFV6235","NY","PAS","9077628964","10/02/2023","11:37A","NO PARKING-STREET CLEANING",,"65","10","0","0","75","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQUkdzeVRrRTlQUT09&locationName=_____________________)"
"PPK91E","NJ","PAS","8917023782","07/23/2022","03:12P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","102","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOZW1NMFRXYzlQUT09&locationName=_____________________)"
"JKC6126","NY","PAS","8917023575","07/23/2022","01:18P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","102","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxOZWxVelRsRTlQUT09&locationName=_____________________)"
"82102ND","NY","COM","5127523760","05/18/2023","06:31P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1NeVRVRTlQUT09&locationName=_____________________)"
"KZU3417","NY","PAS","5127523784","05/18/2023","06:35P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1NMFRrRTlQUT09&locationName=_____________________)"
"T731093C","NY","PAS","5097832188","08/06/2017","03:35P","FAILURE TO STOP AT RED LIGHT","11/02/2017","50","25","37.69","0.09","112.6","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZaM3BOYWtVMFQwRTlQUT09&locationName=_____________________)"
"KNF5231","NY","PAS","8917024087","07/25/2022","07:49P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPUkVFMFRuYzlQUT09&locationName=_____________________)"
"JHF9954","NY","PAS","5127523978","05/18/2023","07:29P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1zelQwRTlQUT09&locationName=_____________________)"
"AJ21953","CT","PAS","5127524223","05/18/2023","09:01P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxPUkVsNVRYYzlQUT09&locationName=_____________________)"
"CHP9957","NC","PAS","9064134261","07/07/2023","07:14A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","071","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPUkVreVRWRTlQUT09&locationName=_____________________)"
"XMTF25","NJ","PAS","5127524004","05/18/2023","07:37P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxPUkVGM1RrRTlQUT09&locationName=_____________________)"
"YOS056","CO","PAS","5127523966","05/18/2023","07:21P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxOZW1zeVRtYzlQUT09&locationName=_____________________)"
"DNC7272","NY","PAS","9077629038","10/02/2023","11:45A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQVkVGNlQwRTlQUT09&locationName=_____________________)"
"HCW6296","PA","PAS","5127524077","05/18/2023","08:01P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGxPUkVFelRuYzlQUT09&locationName=_____________________)"
"JA02XA","FL","PAS","8819672364","08/18/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OYWsweVRrRTlQUT09&locationName=_____________________)"
"66609MM","NY","COM","8819672340","08/18/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVXVE5OYWswd1RVRTlQUT09&locationName=_____________________)"
"KWN5776","NY","PAS","9064134303","07/07/2023","07:30A","NO STANDING-DAY/TIME LIMITS",,"115","10","0","0","125","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBPUkUxM1RYYzlQUT09&locationName=_____________________)"
"GZC6296","NY","PAS","9077629099","10/03/2023","11:25A","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","060","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxQVkVFMVQxRTlQUT09&locationName=_____________________)"
"32686MJ","NY","COM","9040680358","03/14/2023","10:26A","CROSSWALK",,"115","0","0","115","0","0","026","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVFJOUkUweFQwRTlQUT09&locationName=_____________________)"
"32686MJ","NY","COM","9040680360","03/14/2023","10:27A","PLTFRM LFTS LWRD POS COMM VEH",,"45","0","0","45","0","0","026","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVFJOUkUweVRVRTlQUT09&locationName=_____________________)"
